dance_style,dance_type,search_query,video_id,video_url,title,description,channel,published_at,view_count,like_count,comment_count,duration,num_comments_retrieved,comment_sentiment,comment_sentiment_avg_compound,comment_sentiment_comment_count
Dabkeh,Folk dance,Folk dance Dabkeh tutorial,aXFWuecEJYk,https://www.youtube.com/watch?v=aXFWuecEJYk,Learn Lebanese Dabke part 3 تعلم الدبكة اللبنانية الجزء الثالث,Dance teacher and choreographer Nidal Abou Diab.,Nidal Diab,2020-10-24T06:13:02Z,17448,456,28,PT18M9S,10,positive,0.9,10.0
Dabkeh,Folk dance,Folk dance Dabkeh tutorial,0nHil7RkNk4,https://www.youtube.com/watch?v=0nHil7RkNk4,How to Dabke: Zahfa Shuffle Variation,,Dabketna,2022-08-03T04:00:00Z,295,6,0,PT4M38S,0,,,
Dabkeh,Folk dance,Folk dance Dabkeh tutorial,tZcuhZa0rns,https://www.youtube.com/watch?v=tZcuhZa0rns,Masters Of Dabke 2 | Insane Dabke Dance Footwork 🔥,"Lebanese dabke dance in Calgary, Alberta, Canada Camera Operator / Editor: Roshdi Alkadri Music by Gazi Hammoud and Alaa ...",ZoomEnter33,2016-09-23T00:00:22Z,20812911,132498,9043,PT11M34S,10,positive,0.6,10.0
Dabkeh,Folk dance,Folk dance Dabkeh tutorial,jH9GbmMXDlg,https://www.youtube.com/watch?v=jH9GbmMXDlg,سلسلة تعلم الدبكة الشعبية الفلسطينية - الطيارة\Learn Dabke: Beginners class with Tayyara 1/3,These three videos are for beginners in dabke – those of you with no previous dabke or dance experience. We will take you ...,El-Funoun Palestinian Dance Troupe,2020-07-20T12:03:59Z,97785,1256,33,PT7M47S,10,positive,0.6,10.0
Dabkeh,Folk dance,Folk dance Dabkeh tutorial,YJ1yGFIWcDA,https://www.youtube.com/watch?v=YJ1yGFIWcDA,Lesson 3: Intermediate dabke class with Shammalyya (2/3),"These three videos are for intermediate dabke dancers – those of you who previously learnt Tayyara, or those who already have ...",Liverpool Arab Arts Festival,2022-09-19T10:13:49Z,906,6,1,PT13M41S,1,positive,1.0,1.0
Dabkeh,Folk dance,Folk dance Dabkeh tutorial,Ie26yVwttCg,https://www.youtube.com/watch?v=Ie26yVwttCg,Lesson 3: Intermediate dabke class with Shammalyya (1/3),"These three videos are for intermediate dabke dancers – those of you who previously learnt Tayyara, or those who already have ...",Liverpool Arab Arts Festival,2022-09-19T10:13:55Z,3334,38,5,PT11M37S,3,neutral,0.3333,3.0
Dabkeh,Folk dance,Folk dance Dabkeh tutorial,XGM13IsOBj4,https://www.youtube.com/watch?v=XGM13IsOBj4,🔥 Palestinian Dabke 🇵🇸 | أقوى عرض دبكة فلسطينية,Get ready for an electrifying night of Palestinian culture and tradition as a incredible Dabke performances take the stage!,AfrahProductions,2025-03-17T17:13:04Z,1854194,20065,1633,PT8M7S,10,neutral,0.5,10.0
Dabkeh,Folk dance,Folk dance Dabkeh tutorial,JJIx5Nbw8e4,https://www.youtube.com/watch?v=JJIx5Nbw8e4,FULL DABKA TUTORIAL!!! (2019),Enjoy this FREE FULL DABKA TUTORIAL!!! I promised this SECOND free tutorial if I got 500 likes on the previous tutorial. If I get ...,YousifVSWorld,2019-12-14T23:14:39Z,14150,774,38,PT12M48S,10,positive,0.8,10.0
Dabkeh,Folk dance,Folk dance Dabkeh tutorial,gC5jdLOscyI,https://www.youtube.com/watch?v=gC5jdLOscyI,Dabke Tutorial - Basic Steps,Dabkah Steps for Belly Dance Fusion! Learn the choreo! Tanura song!! https://www.youtube.com/watch?v=UHR76RkRo9M Take ...,Belly Art Dubai,2020-02-15T15:59:07Z,24706,385,5,PT6M49S,4,positive,0.0,4.0
Dabkeh,Folk dance,Folk dance Dabkeh tutorial,u2pX-ivw_5A,https://www.youtube.com/watch?v=u2pX-ivw_5A,Dabke palestino,porlosniñosdepalestina.,Fundación Palestina Belén 2000,2021-11-16T20:27:41Z,3169849,48828,4829,PT5M51S,10,positive,0.6,10.0
Dabkeh,Folk dance,Folk dance Dabkeh tutorial,Rw1l-mcMAB8,https://www.youtube.com/watch?v=Rw1l-mcMAB8,سلسلة تعلم الدبكة الشعبية الفلسطينية -الشمالية\Learn Dabke: Intermediate class with Shammalyya 2/3,"These three videos are for intermediate dabke dancers – those of you who previously learnt Tayyara, or those who already have ...",El-Funoun Palestinian Dance Troupe,2020-07-16T18:40:19Z,5257,67,2,PT13M41S,2,positive,0.5,2.0
Dabkeh,Folk dance,Folk dance Dabkeh tutorial,LQgMIV78CzU,https://www.youtube.com/watch?v=LQgMIV78CzU,Feel the Beat of Dabkeh: A Dance Lesson Like No Other!,"English Description: Step into the world of Dabkeh, the lively and dynamic folk dance that connects people through energy and ...",Canadabkeh,2024-12-17T11:00:31Z,45,0,0,PT4M24S,0,,,
Bharatanatyam,Classical dance,Classical dance Bharatanatyam tutorial,OIKOHzePJCA,https://www.youtube.com/watch?v=OIKOHzePJCA,"Bharatanatyam Basics: Episode 16: Nattadavu 1, 2, 3, 4 Practice",My Nattadavu Playlist:https://www.youtube.com/watch?v=H7uPmc8P32I&list=PLFocEhZK6Zr5hGifg34MWn38bmsusHMJh In this ...,Moon's Nest,2021-06-01T14:47:22Z,8638013,60401,690,PT4M12S,10,positive,1.0,10.0
Bharatanatyam,Classical dance,Classical dance Bharatanatyam tutorial,c2nFRL4M-Uo,https://www.youtube.com/watch?v=c2nFRL4M-Uo,Pranavalay Choreography Tutorial Part 1/ Bharatamatyam Based Semiclassical,For Paid Bharatanatyam Online Course - (FILL UP THE FORM ONLY IF YOU ARE INTERESTED IN PAID ONLINE CLASSES ...,Talaank Dance Company,2023-05-27T14:27:30Z,500861,8533,88,PT6M46S,10,positive,1.0,10.0
Odissi,Classical dance,Classical dance Odissi tutorial,3LdZOeBXg6U,https://www.youtube.com/watch?v=3LdZOeBXg6U,Odissi Basic Steps (Part-1),"The basic Odissi dance steps researched and developed by ""PURNANGA"" in accordance with the Guru Kelucharan Mahapatra's ...",PURNANGA The Odissi Research Foundation,2020-11-01T09:55:45Z,164265,3941,106,PT13M5S,10,positive,1.0,10.0
Odissi,Classical dance,Classical dance Odissi tutorial,eHyekNcNS0E,https://www.youtube.com/watch?v=eHyekNcNS0E,LESSON-1 Part-1| Odissi Exercises | Soundless 1 - 4 | Odissi Basics| Tulika Tripathy #odissi,Exercise #Soundless #tutorial There are certain effective warming up exercises practiced before performing Odissi dance.,Tulika Tripathy,2020-07-03T23:30:01Z,60611,1863,35,PT6M12S,10,positive,0.8,10.0
Haka,Ceremonial dance,Ceremonial dance Haka tutorial,H2deYzImsT0,https://www.youtube.com/watch?v=H2deYzImsT0,AIS | How to do the Haka,"In observation of Waitangi Day, AIS learned how to do the Kamate with Tony Keepa from the Kiwi Waka Ama Club.",AISsingapore,2021-02-04T08:06:27Z,906125,16855,0,PT6M52S,0,,,
Haka,Ceremonial dance,Ceremonial dance Haka tutorial,azjPm9wxIKo,https://www.youtube.com/watch?v=azjPm9wxIKo,Welcome to New Zealand | TIP 005: HAKA,Subscribe here: http://bit.ly/SubtoHowtoDAD As *official ambassador of New Zealand it's my job to help you on your journey ...,How to DAD,2019-10-13T23:30:27Z,601750,24753,922,PT4M34S,10,positive,0.8,10.0
Kagura,Ceremonial dance,Ceremonial dance Kagura tutorial,9RwqWhMS688,https://www.youtube.com/watch?v=9RwqWhMS688,Kagura Dance at Heian Jingu in Kyoto,Miko from the Heian Jingū gagaku-kai (平安神宮雅楽会) performing a ”kagura dance” in honour of Emperor Kamnu (桓武天皇).,Kyoto-Nara Dream Trips,2016-04-20T11:59:37Z,284297,5737,370,PT4M,10,neutral,0.5,10.0
Kagura,Ceremonial dance,Ceremonial dance Kagura tutorial,iGDmuaeBAVY,https://www.youtube.com/watch?v=iGDmuaeBAVY,【巫女舞】2022 Shinto shrine Miko kagura dance Japan,"It is a divine image of a golden light projected by chance, shining above the shrine maiden's head. Today, there are many ...",巫女が案内Japanese shinto,2022-07-28T07:01:42Z,36775,916,49,PT12M56S,10,positive,0.8,10.0
Cham dance,Ceremonial dance,Ceremonial dance Cham dance tutorial,JGYcwFH0VAo,https://www.youtube.com/watch?v=JGYcwFH0VAo,Religious Cham Dances at Tsurphu Monastery,The italian writer Mario Biondi shows a few scenes of the Cham Dances celebrated at the Karma Kagyu Tsurphu Monastery on ...,Mario Scrittore Biondi,2015-06-11T09:39:22Z,446,2,0,PT7M13S,0,,,
Cham dance,Ceremonial dance,Ceremonial dance Cham dance tutorial,2Fda5WLPANI,https://www.youtube.com/watch?v=2Fda5WLPANI,Neyphu Sedra || Lagtor Cham || Vajrayana dance,Neyphu Sedra || Lagtor Cham || Vajrayana dance Video : from Neyphu shedra.,Bhutan,2023-05-05T13:49:47Z,1242,33,8,PT8M20S,5,neutral,0.4,5.0
Drametse Ngacham,Ceremonial dance,Ceremonial dance Drametse Ngacham tutorial,eNs9DYYhr2I,https://www.youtube.com/watch?v=eNs9DYYhr2I,Monks Mask Dance in Rinchenling Shedra (Buddhist institute),This video will be a guide to Rhodes who wants to know how to perform Getey Cham.,འཇིག་རྟེན་འདིའི་རིག་གནས་ཚང་། The Den of Knowledge ,2016-03-27T01:02:43Z,92461,466,16,PT6M6S,6,neutral,0.3333,6.0
Drametse Ngacham,Ceremonial dance,Ceremonial dance Drametse Ngacham tutorial,-nmTt7W5Hig,https://www.youtube.com/watch?v=-nmTt7W5Hig,Samtse Dzongkhag Melam Chhenmo | Day #1 🇧🇹,,Lhop Vlogger,2022-11-15T18:07:30Z,418,4,2,PT5M5S,1,neutral,0.0,1.0
Rejang dance,Ceremonial dance,Ceremonial dance Rejang dance tutorial,zTquuJnJBnY,https://www.youtube.com/watch?v=zTquuJnJBnY,Reong Rejang Dewa,Apa kabar sahabat saya. Semoga hari-hari menyenangkan selalu. Ini sekelumit gamelan bali yang dipergunakan saat upacara ...,Blangbungkem,2018-09-29T12:32:49Z,584284,1697,104,PT7M57S,10,positive,0.7,10.0
Rejang dance,Ceremonial dance,Ceremonial dance Rejang dance tutorial,q4KNfKXSirg,https://www.youtube.com/watch?v=q4KNfKXSirg,"Ciaaattt...rejang dewa dance, full moon ceremony at pairi daiza","pair daiza, 12 july 2014.",made agus wardana,2014-07-15T10:05:16Z,2044,6,0,PT5M2S,0,,,
Sanghyang,Ceremonial dance,Ceremonial dance Sanghyang tutorial,eJPumgqw_3o,https://www.youtube.com/watch?v=eJPumgqw_3o,Sanghyang Dedari - Desa Samsam  ||  Tari dan Musik Kreasi Tradisional x Modern,,Dwiky Pranata,2019-10-19T08:14:24Z,2230,56,3,PT10M43S,3,positive,0.6667,3.0
Sanghyang,Ceremonial dance,Ceremonial dance Sanghyang tutorial,i-5pY6rANRM,https://www.youtube.com/watch?v=i-5pY6rANRM,Tari sanghyang jaran Dance in gianyar city,,SUTA Bali,2019-05-03T09:59:11Z,191,6,0,PT9M21S,0,,,
Sufi whirling,Ceremonial dance,Ceremonial dance Sufi whirling tutorial,HP5xsJZ9iOs,https://www.youtube.com/watch?v=HP5xsJZ9iOs,Whirling Dervishes technique Final,,Zariyaa_App,2023-08-28T07:11:07Z,1311,54,9,PT9M11S,6,positive,0.6667,6.0
Sufi whirling,Ceremonial dance,Ceremonial dance Sufi whirling tutorial,OVmCGiNsX00,https://www.youtube.com/watch?v=OVmCGiNsX00,Sufi dance,Sufi dance (Live concert) and Persian music with Daf: Farid Sheek Tambour: Mirtohid Radfar Stuttgart Interreligiöse Konzerte ...,farid sheek,2020-02-26T11:29:10Z,2191340,50759,2266,PT5M57S,10,positive,0.9,10.0
Sufi whirling,Ceremonial dance,Ceremonial dance Sufi whirling tutorial,R9BAoyNL8kk,https://www.youtube.com/watch?v=R9BAoyNL8kk,Whirling Mandala™ Sacred Dance | Zia Nath | TEDxExeter,"Zia has been in the study of ancient sacred dances since 1994. Her journey started with Gurdjieff movements, Sufi dances and ...",TEDx Talks,2016-05-13T19:06:55Z,356274,4628,247,PT8M17S,10,positive,0.9,10.0
Sufi whirling,Ceremonial dance,Ceremonial dance Sufi whirling tutorial,ddIyioE6D4Q,https://www.youtube.com/watch?v=ddIyioE6D4Q,Sufi Dervishes Ceremony,Sufi Whirling Dervishes Ceremony by the Sufi Group of Istanbul Galata Dervishes.,Costanzo Allione,2010-03-04T14:24:48Z,155,1,0,PT7M26S,0,,,
Sufi whirling,Ceremonial dance,Ceremonial dance Sufi whirling tutorial,Wmq1wmqJ158,https://www.youtube.com/watch?v=Wmq1wmqJ158,"How do they not get dizzy!? Whirling dervishes ritual dance in Cappadocia, Turkey","Sufi whirling Dervishes dance in Cappadocia, Turkey. Religious meditating practice that comes from the branch of Islamic Sufism, ...",Air Sandals,2022-12-24T13:00:30Z,624,11,0,PT5M46S,0,,,
Sufi whirling,Ceremonial dance,Ceremonial dance Sufi whirling tutorial,XIFTXFkmBh8,https://www.youtube.com/watch?v=XIFTXFkmBh8,Only Dance by Paula Marvelly,"The mukabele turning ceremony of the Sufi whirling dervishes of The Study Society, West London.",Paula Marvelly,2015-02-26T21:32:06Z,597,8,0,PT6M46S,0,,,
Sufi whirling,Ceremonial dance,Ceremonial dance Sufi whirling tutorial,2xl3WuSttGk,https://www.youtube.com/watch?v=2xl3WuSttGk,The Mysterious Sufi Whirling Dervish Dance!!,"Welcome to the mystical world of the Whirling Dervishes in Istanbul, Turkey! This ancient practice, also known as ""Sufi Whirling"" ...",Davidsbeenhere,2023-03-26T12:00:01Z,78777,569,85,PT10M32S,10,positive,1.0,10.0
Sufi whirling,Ceremonial dance,Ceremonial dance Sufi whirling tutorial,Ie-9sxJ98SM,https://www.youtube.com/watch?v=Ie-9sxJ98SM,Whirling dervish Dance Complete Tutorial in Hindi,whirlingdance #sufidance #turkishsufidance #sufidancetutorial #WhirlingdervishDanceCompleteTutorialinHindi #whirling ...,Dance Desire Company ,2024-01-18T02:01:41Z,748,26,6,PT7M39S,6,positive,0.8333,6.0
Sufi whirling,Ceremonial dance,Ceremonial dance Sufi whirling tutorial,PJLsYhwbVck,https://www.youtube.com/watch?v=PJLsYhwbVck,The Mystical World of Sufism Whirling Dance  Hidden Wisdom,"""Have you ever seen men in white robes spinning endlessly in a trance-like dance? That's the Whirling Dance of the Sufi ...", Sacred Sutras,2025-09-29T01:15:02Z,25,1,0,PT10M39S,0,,,
Sufi whirling,Ceremonial dance,Ceremonial dance Sufi whirling tutorial,66QKfiz78yo,https://www.youtube.com/watch?v=66QKfiz78yo,Sufi Whirling - The Practice of Sufi Whirling in Istanbul,"Sufi Whirling - The Practice of Sufi Whirling in Istanbul. The Whirling Dervish or a Whirling Sufi, a mystical dancer who stands ...",VisitIstanbul,2015-07-24T22:44:12Z,778,10,0,PT9M19S,0,,,
Sufi whirling,Ceremonial dance,Ceremonial dance Sufi whirling tutorial,_h1wayIgn8o,https://www.youtube.com/watch?v=_h1wayIgn8o,"The Sufi Whirling Dervishes of Konya - ritual dance, Turkey","Dervishe Dance is a beautiful Spiritual Practice, a meditation, a mystical journey of spiritual ascent through mind to God's Love.",TravelS Aerial and Nefhith,2016-10-13T06:54:50Z,395010,4257,334,PT9M58S,10,positive,0.9,10.0
Sufi whirling,Ceremonial dance,Ceremonial dance Sufi whirling tutorial,yCkZEcE3ze0,https://www.youtube.com/watch?v=yCkZEcE3ze0,The Secret Superpower of Whirling Meditation,"Discover the transformative power of whirling meditation in this enlightening video, ""The Secret Superpower of Whirling Meditation ...",Leszek's Lost & Found,2024-08-09T02:00:06Z,2553,53,4,PT8M41S,2,positive,0.5,2.0
Sufi whirling,Ceremonial dance,Ceremonial dance Sufi whirling tutorial,M01O14W1azU,https://www.youtube.com/watch?v=M01O14W1azU,The Mystical Movement of the Whirling Dervishes,Experience the enchanting mystical movement of the Whirling Dervishes in Cairo. A mystical Sufi order known for their ...,XLB Travels,2025-06-12T14:30:25Z,3619,125,14,PT13M11S,4,positive,1.0,4.0
Sufi whirling,Ceremonial dance,Ceremonial dance Sufi whirling tutorial,28lWyVV5f_4,https://www.youtube.com/watch?v=28lWyVV5f_4,Dervish in Progress - Dans Gösterisi | Ziya Azazi | TEDxİKÜ,"Ziya Azazi'den muhteşem bir dans performansı Ziya Azazi was born in Antakya, Turkey. He studied at Mining Faculty in Istanbul ...",TEDx Talks,2016-11-15T20:28:33Z,259789,4288,246,PT6M37S,10,positive,0.6,10.0
Sufi whirling,Ceremonial dance,Ceremonial dance Sufi whirling tutorial,77HYCTfeVaI,https://www.youtube.com/watch?v=77HYCTfeVaI,Whirling Dervishes,"Sufi whirling (or Sufi spinning) is a form of Sema or physicaly active meditation which orginated among Sufis, and which is still ...",Jose Mario Franco,2012-12-08T19:16:25Z,1435,3,0,PT10M15S,0,,,
Sufi whirling,Ceremonial dance,Ceremonial dance Sufi whirling tutorial,_pv5uLx4MXA,https://www.youtube.com/watch?v=_pv5uLx4MXA,"The Sufi Whirling Dervishes - Konya, Turkey","I filmed this Whirling Dervish performance in Konya, Türkiye on December 17th 2025. This is the anniversary of the day that Rumi ...",Dan Vineberg,2025-12-25T13:13:29Z,5938,70,9,PT8M43S,7,positive,0.7143,7.0
Sufi whirling,Ceremonial dance,Ceremonial dance Sufi whirling tutorial,dYurHSo9bC8,https://www.youtube.com/watch?v=dYurHSo9bC8,A Whirling Dervish at Galata Mevlevihanesi Museum |  Sufi Dance Ritual  |  Istunbul  | Turkey,sufism #sufidance #whirlingsufi #galatamuseum #mysticsufi A unique mesmerizing experience witnessing dervish performing ...,Arslan Siddiqui,2020-06-28T23:55:15Z,433,25,0,PT5M2S,0,,,
Sufi whirling,Ceremonial dance,Ceremonial dance Sufi whirling tutorial,65T2MuC2xoo,https://www.youtube.com/watch?v=65T2MuC2xoo,Whirling Dervish - A Magical family moment learning about them in Konya,"We finally made it Konya! After seeing the Sufi dance for the first time in Egypt a few years ago, we wanted to learn more about the ...",The 5 World Explorers,2022-06-03T19:52:53Z,315,14,2,PT13M54S,1,positive,1.0,1.0
Sufi whirling,Ceremonial dance,Ceremonial dance Sufi whirling tutorial,dju_PlQKejo,https://www.youtube.com/watch?v=dju_PlQKejo,The Mystical Dance of Sufi Whirling,The Mystical Dance of Sufi Whirling Egypt: #Sufi whirling | #Derviscio Rotante #ilfaraonetours WhatsApp: +2 01060809092 E mail: ...,Il Faraone Tours,2023-02-03T06:25:19Z,139,4,0,PT7M31S,0,,,
Sufi whirling,Ceremonial dance,Ceremonial dance Sufi whirling tutorial,A8K7qKbJzFU,https://www.youtube.com/watch?v=A8K7qKbJzFU,Whirling Dervish Dance Explained: Sufi Dance Meaning Decoded,Dive into the mesmerizing world of the Whirling Dervish Dance as we decode the profound meaning behind this captivating Sufi ...,Lifestyle with ashi,2024-05-25T18:16:20Z,37,0,0,PT10M1S,0,,,
Sufi whirling,Ceremonial dance,Ceremonial dance Sufi whirling tutorial,xcB1lJdkTUU,https://www.youtube.com/watch?v=xcB1lJdkTUU,Raqs-e-Darvesh Ba Rang-e-Konya Sharif (Turkey),766th Urs-e-Mevlana Jalal uddin Roomi (R.A) 2017.,Roomi Foundation,2017-04-30T01:59:59Z,12897,165,6,PT12M29S,5,neutral,0.4,5.0
Sufi whirling,Ceremonial dance,Ceremonial dance Sufi whirling tutorial,G5goISKPSH8,https://www.youtube.com/watch?v=G5goISKPSH8,Hypnotizing circle dance by Sufi Zikr,,Nakwenda,2013-04-03T15:28:57Z,5492736,41390,11568,PT5M7S,10,neutral,0.3,10.0
Sufi whirling,Ceremonial dance,Ceremonial dance Sufi whirling tutorial,7EvVz4BsSy0,https://www.youtube.com/watch?v=7EvVz4BsSy0,Dervish whirling steps,"Mawlana Jalaluddin Rumi Shams of Tabriz whirling steps in halqa Sufi dance known as whirling dervishes, often referred to as ...",Naheed_Waheed,2020-06-28T19:34:25Z,177,3,0,PT11M45S,0,,,
Sufi whirling,Ceremonial dance,Ceremonial dance Sufi whirling tutorial,4myap1eQ65U,https://www.youtube.com/watch?v=4myap1eQ65U,A Mevlevi Sema performance by the whirling dervishes  at Konya Turkey,A beautiful spiritual dance by the whirling dervishes of the Mevlevi order that traces it's origins to Mevlana Rumi. An illustrated ...,Classically Indian,2015-09-21T14:37:00Z,601,3,0,PT6M41S,0,,,
Sufi whirling,Ceremonial dance,Ceremonial dance Sufi whirling tutorial,3sFyo5GTThI,https://www.youtube.com/watch?v=3sFyo5GTThI,Whirling Dance Practice (9.30 minutes),Still practice and in the last minute I start to feel so tired that effect to my focus.,Desi Ardy,2018-10-27T12:52:50Z,161,4,1,PT9M32S,1,positive,1.0,1.0
Hustle,Disco Soul dance,Disco Soul dance Hustle tutorial,BzrA38NiyoA,https://www.youtube.com/watch?v=BzrA38NiyoA,Dance Party Friday - The Hustle,Dance Party Friday - The Hustle.,Ozarks First,2021-02-19T15:29:08Z,494266,5179,229,PT5M46S,10,positive,0.6,10.0
Hustle,Disco Soul dance,Disco Soul dance Hustle tutorial,v8Ux6u0DEV0,https://www.youtube.com/watch?v=v8Ux6u0DEV0,The Hustle Demo &amp; Tutorial,Beginner line dance.,TKH DanceClub,2021-02-19T02:10:27Z,3509,69,2,PT6M35S,2,positive,1.0,2.0
Waacking,Disco Soul dance,Disco Soul dance Waacking tutorial,66cOOE79Gws,https://www.youtube.com/watch?v=66cOOE79Gws,VIVIDNESS - Soul Dance &amp; Waacking Performance,Instagram https://www.instagram.com/vo.mellow_deep ***Facebook https://www.facebook.com/vo.kim1.,VO mellow-deep,2016-03-19T11:06:57Z,3328,29,1,PT4M39S,1,positive,1.0,1.0
Waacking,Disco Soul dance,Disco Soul dance Waacking tutorial,_E7SMkgHcsM,https://www.youtube.com/watch?v=_E7SMkgHcsM,CERA VS YOON JI | SEMI FINAL | WAACKING ADULT | STREET BEAT 2024,"STREET BEAT 2024 Seoul, Republic of Korea     11~13 Oct, 2024 - DAY1: Locking Workshop, Locking Conference DAY2: ...",WAYUP,2024-11-18T06:54:25Z,14008143,47513,1736,PT4M39S,10,positive,0.9,10.0
Electric Boogaloo,Disco Soul dance,Disco Soul dance Electric Boogaloo tutorial,FWqn-TCxwXU,https://www.youtube.com/watch?v=FWqn-TCxwXU,【ブガルー 静岡ver./SOUL】初心者向け【Boogaloo】Soul Dance Tutorial #SoulDance #ソウルダンス #ソウルステップ,【カウボーイ/SOUL】 https://youtu.be/_nnjyIcKrJ0 【ソウルステップ一覧】 ...,ダンサーAZU,2021-12-13T10:19:13Z,2731,23,1,PT4M1S,1,neutral,0.0,1.0
Electric Boogaloo,Disco Soul dance,Disco Soul dance Electric Boogaloo tutorial,dA44IrpwBr8,https://www.youtube.com/watch?v=dA44IrpwBr8,Soul Street - ELECTRIC BOOGALOOS,Soul Street@仙台 - ELECTRIC BOOGALOOS.,Kosuke Sasaki,2022-04-08T14:08:48Z,1304,36,3,PT11M37S,1,positive,1.0,1.0
Contact improvisation,Free and improvised dance,Free and improvised dance Contact improvisation tutorial,H8JiB2Nv5Qo,https://www.youtube.com/watch?v=H8JiB2Nv5Qo,Contact Improvisation - A couple of basic exercises,,OKI,2016-09-18T09:58:45Z,667924,10931,103,PT9M37S,10,positive,0.9,20.0
Contact improvisation,Free and improvised dance,Free and improvised dance Contact improvisation tutorial,q4wUEiHowSU,https://www.youtube.com/watch?v=q4wUEiHowSU,Embraced - Contact Improvisation,"Embraced Dance Video made in Ash, Arambol, Goa April 2016 Short footage of moments of practice of Contact and Improvisation ...",BeingMotion Irene Sposetti,2016-04-11T12:02:43Z,501340,4143,82,PT4M,10,positive,0.9,10.0
Contact improvisation,Free and improvised dance,Free and improvised dance Contact improvisation tutorial,jcrbIdY3HZc,https://www.youtube.com/watch?v=jcrbIdY3HZc,Core Connection / Sharing Balance in Contact Improv,"First of a series of three videos highlighting the individual components of Continuous Dynamic Weight Sharing, in Contact ...",InterKinected,2013-05-28T16:09:17Z,429307,2372,50,PT4M58S,10,positive,1.0,10.0
Contact improvisation,Free and improvised dance,Free and improvised dance Contact improvisation tutorial,_qnzKHrxKbA,https://www.youtube.com/watch?v=_qnzKHrxKbA,Lifting - Contact &amp; Improvisation,"how to lift somebody, short introduction to the priciple in lifting, some excercises to practise and make the lift happening.",Xandy Liberato,2015-11-08T23:04:19Z,111046,2391,33,PT6M31S,10,positive,1.0,10.0
Contact improvisation,Free and improvised dance,Free and improvised dance Contact improvisation tutorial,Gi-OaiQvnTU,https://www.youtube.com/watch?v=Gi-OaiQvnTU,"Contact Improvisation: An Intuitive, Non-Verbal and Intimate Dialogue: Itay Yatuv at TEDxBGU","Artistic director of the Hakvutza Dance School in Jaffa, Tel Aviv, Itay has been practicing and internationally teaching Contact ...",TEDx Talks,2012-06-25T18:17:52Z,114232,1659,39,PT11M33S,10,positive,0.7,10.0
Contact improvisation,Free and improvised dance,Free and improvised dance Contact improvisation tutorial,xa0U7CUOKGo,https://www.youtube.com/watch?v=xa0U7CUOKGo,Contact Improvisation Dance Tutorial: How to Surf Your Partner’s Momentum (Beginner-Friendly),Learn the art of Contact Improvisation practice with this tutorial on “surfing” — the art of riding your partner's momentum.,Movement with Aalia - Contact Improvisation ,2025-11-18T02:54:05Z,355,2,0,PT8M42S,0,,,
Contact improvisation,Free and improvised dance,Free and improvised dance Contact improvisation tutorial,ED8hNoulZv4,https://www.youtube.com/watch?v=ED8hNoulZv4,"Contact Improvisation - Moments of practice, with Irene Sposetti &amp; Johan Nilsson",Video realized by Being Motion Camera: Avanson Editing: Irene Sposetti Dancers: Irene Sposetti & Johan Nilsson Music: Swod ...,BeingMotion Irene Sposetti,2011-11-07T17:44:41Z,666208,4198,114,PT5M51S,10,positive,0.7,10.0
Contact improvisation,Free and improvised dance,Free and improvised dance Contact improvisation tutorial,FvE8Bjkr-IA,https://www.youtube.com/watch?v=FvE8Bjkr-IA,Contact improvisation and conscious movement with Aham,Contact improvisation is a dance improvised among two or more dancers always phisically in touch and in constant flow.,"Aham CI, Conscious Movement and NVC",2020-01-07T23:44:23Z,65869,983,17,PT4M33S,10,positive,0.9,10.0
Contact improvisation,Free and improvised dance,Free and improvised dance Contact improvisation tutorial,mptyZmxaYvE,https://www.youtube.com/watch?v=mptyZmxaYvE,Contact Improvisation - practice time,"Feeling Human Design - Education. Community. Creativity Instragram: feeling.human.design Facebook - Page & Group - "" Feelign ...",Human Design with Mia-Bar,2015-04-29T15:08:21Z,127746,1345,17,PT5M30S,10,positive,0.9,10.0
Contact improvisation,Free and improvised dance,Free and improvised dance Contact improvisation tutorial,mflcdK63bYI,https://www.youtube.com/watch?v=mflcdK63bYI,Contact Improvisation Dance with Pep Nebot and Marta Bonet,contemporarydance Contact Improvisation Dance Moments. Dancers: Marta Bonet and Pep Nebot. Music Joana Torelló E Motion ...,Pep Nebot - Dansa,2024-04-14T22:20:51Z,267,2,1,PT4M27S,1,positive,1.0,1.0
Contact improvisation,Free and improvised dance,Free and improvised dance Contact improvisation tutorial,invUSmneljE,https://www.youtube.com/watch?v=invUSmneljE,Inviting and Following Through Touch | Audio Class | Home Practice |  Inclusive Contemporary Dance,"In this Home Practice audio class, Tom Goodwin explores the actions of push, pull, support and listening, and focusses on how ...",Stopgap Dance Company,2022-02-28T10:00:30Z,1010,32,3,PT18M53S,1,positive,1.0,1.0
Contact improvisation,Free and improvised dance,Free and improvised dance Contact improvisation tutorial,bi5z48NN1FM,https://www.youtube.com/watch?v=bi5z48NN1FM,FREE DANCE contact improvisation,МОЙ ИНСТАГРАМ https://www.instagram.com/eto.son/ - ИНСТАГРАМ С МОИМИ РАБОТАМИ ...,Atom Neba,2019-09-24T17:38:56Z,129,3,0,PT4M53S,0,,,
